Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Ifnir Deadlands | ['Desert'] | {T}: Add {C}. {T}, Pay 1 life: Add {B}. {2}{B}{B}, {T}, Sacrifice a Desert: Put two -1/-1 counters on target creature an opponent controls. Activate only as a sorcery.
Immersturm Skullcairn | [] | This land enters tapped. {T}: Add {B}. {1}{B}{R}{R}, {T}, Sacrifice this land: It deals 3 damage to target player. That player discards a card. Activate only as a sorcery.
Indatha Triome | ['Plains', 'Swamp', 'Forest'] | ({T}: Add {W}, {B}, or {G}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Inkmoth Nexus | [] | {T}: Add {C}. {1}: This land becomes a 1/1 Phyrexian Blinkmoth artifact creature with flying and infect until end of turn. It's still a land. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Insomnia, Crown City | ['Town'] | This land enters tapped. {T}: Add {W} or {B}.
Inspiring Vantage | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {R} or {W}.
Interplanar Beacon | [] | Whenever you cast a planeswalker spell, you gain 1 life. {T}: Add {C}. {1}, {T}: Add two mana of different colors. Spend this mana only to cast planeswalker spells.
Inventors' Fair | [] | At the beginning of your upkeep, if you control three or more artifacts, you gain 1 life. {T}: Add {C}. {4}, {T}, Sacrifice Inventors' Fair: Search your library for an artifact card, reveal it, put it into your hand, then shuffle. Activate only if you control three or more artifacts.
Ipnu Rivulet | ['Desert'] | {T}: Add {C}. {T}, Pay 1 life: Add {U}. {1}{U}, {T}, Sacrifice a Desert: Target player mills four cards. (They put the top four cards of their library into their graveyard.)
Irrigated Farmland | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Irrigation Ditch | [] | This land enters tapped. {T}: Add {W}. {T}, Sacrifice this land: Add {G}{U}.
Ishgard, the Holy See // Faith & Grief | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {W}. // Return up to two target artifact and/or enchantment cards from your graveyard to your hand. (Then exile this card. You may play the land later from exile.)
Island | ['Island'] | ({T}: Add {U}.)
Island of Wak-Wak | [] | {T}: Target creature with flying has base power 0 until end of turn.
Isolated Chapel | [] | This land enters tapped unless you control a Plains or a Swamp. {T}: Add {W} or {B}.
Isolated Watchtower | [] | {T}: Add {C}. {2}, {T}: Scry 1, then you may reveal the top card of your library. If a basic land card is revealed this way, put it onto the battlefield tapped. Activate only if an opponent controls at least two more lands than you.
Izzet Boilerworks | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {U}{R}.
Izzet Guildgate | ['Gate'] | This land enters tapped. {T}: Add {U} or {R}.
Jagged Barrens | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {B} or {R}.
Jetmir's Garden | ['Mountain', 'Forest', 'Plains'] | ({T}: Add {R}, {G}, or {W}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Jidoor, Aristocratic Capital // Overture | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {U}. // Target opponent mills half their library, rounded down. (Then exile this card. You may play the land later from exile.)
Jund Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle.
Jungle Basin | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Forest you control to its owner's hand. {T}: Add {C}{G}.
Jungle Hollow | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {G}.
Jungle Shrine | [] | This land enters tapped. {T}: Add {R}, {G}, or {W}.
Junktown | [] | {T}: Add {C}. {4}{R}, {T}, Sacrifice this land: Create three Junk tokens. (They're artifacts with "{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.")
Jwar Isle Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {U} or {B}.
Kabira Crossroads | [] | This land enters tapped. When this land enters, you gain 2 life. {T}: Add {W}.
Karakas | [] | {T}: Add {W}. {T}: Return target legendary creature to its owner's hand.
Karn's Bastion | [] | {T}: Add {C}. {4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Karoo | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Plains you control to its owner's hand. {T}: Add {C}{W}.
Karplusan Forest | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land deals 1 damage to you.
Kazandu Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {R} or {G}.
Keldon Megaliths | [] | This land enters tapped. {T}: Add {R}. Hellbent — {1}{R}, {T}: This land deals 1 damage to any target. Activate only if you have no cards in hand.
Keldon Necropolis | [] | {T}: Add {C}. {4}{R}, {T}, Sacrifice a creature: Keldon Necropolis deals 2 damage to any target.
Kessig Wolf Run | [] | {T}: Add {C}. {X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn.
Ketria Triome | ['Forest', 'Island', 'Mountain'] | ({T}: Add {G}, {U}, or {R}.) This land enters tapped. Cycling {3} ({3}, Discard this card: Draw a card.)
Khalni Garden | [] | This land enters tapped. When this land enters, create a 0/1 green Plant creature token. {T}: Add {G}.
Kher Keep | [] | {T}: Add {C}. {1}{R}, {T}: Create a 0/1 red Kobold creature token named Kobolds of Kher Keep.
Kishla Village | [] | This land enters tapped unless you control an Island or a Swamp. {T}: Add {G}. {3}{G}, {T}: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Kitchen | [] | This land enters tapped. {T}: Add {G} or {U}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Kjeldoran Outpost | [] | If this land would enter, sacrifice a Plains instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {W}. {1}{W}, {T}: Create a 1/1 white Soldier creature token.
Kor Haven | [] | {T}: Add {C}. {1}{W}, {T}: Prevent all combat damage that would be dealt by target attacking creature this turn.
Koskun Keep | [] | {T}: Add {C}. {1}, {T}: Add {R}. {2}, {T}: Add {B} or {G}.
Krosan Verge | [] | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle.
Labyrinth of Skophos | [] | {T}: Add {C}. {4}, {T}: Remove target attacking or blocking creature from combat.
Lair of the Hydra | [] | If you control two or more other lands, this land enters tapped. {T}: Add {G}. {X}{G}: Until end of turn, this land becomes an X/X green Hydra creature. It's still a land. X can't be 0.
Lake of the Dead | [] | If this land would enter, sacrifice a Swamp instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {B}. {T}, Sacrifice a Swamp: Add {B}{B}{B}{B}.
Lakeside Shack | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {G} or {U}.
Land Cap | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {W} or {U}. Put a depletion counter on this land.
Lantern-Lit Graveyard | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land doesn't untap during your next untap step.
Lavaclaw Reaches | [] | This land enters tapped. {T}: Add {B} or {R}. {1}{B}{R}: Until end of turn, this land becomes a 2/2 black and red Elemental creature with "{X}: This creature gets +X/+0 until end of turn." It's still a land.
Lava Tubes | [] | This land doesn't untap during your untap step if it has a depletion counter on it. At the beginning of your upkeep, remove a depletion counter from this land. {T}: Add {B} or {R}. Put a depletion counter on this land.
Lazotep Quarry | ['Desert'] | {T}: Add {C}. {T}, Sacrifice a creature: Add one mana of any color. {X}{2}, {T}, Sacrifice a Desert: Exile target creature card with mana value X from your graveyard. Create a token that's a copy of it, except it's a 4/4 black Zombie. Activate only as a sorcery.
Leechridden Swamp | ['Swamp'] | ({T}: Add {B}.) This land enters tapped. {B}, {T}: Each opponent loses 1 life. Activate only if you control two or more black permanents.
Library | [] | This land enters tapped. {T}: Add {U} or {R}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Library of Alexandria | [] | {T}: Add {C}. {T}: Draw a card. Activate only if you have exactly seven cards in hand.
Lilypad Village | [] | {T}: Add {C}. {T}: Add {U}. Spend this mana only to cast a creature spell. {U}, {T}: Surveil 2. Activate only if a Bird, Frog, Otter, or Rat entered the battlefield under your control this turn.
Lindblum, Industrial Regency // Mage Siege | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {R}. // Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Littjara Mirrorlake | [] | This land enters tapped. {T}: Add {U}. {2}{G}{G}{U}, {T}, Sacrifice this land: Create a token that's a copy of target creature you control, except it enters with an additional +1/+1 counter on it. Activate only as a sorcery.
Llanowar Reborn | [] | This land enters tapped. {T}: Add {G}. Graft 1 (This land enters with a +1/+1 counter on it. Whenever a creature enters, you may move a +1/+1 counter from this land onto it.)
Llanowar Wastes | [] | {T}: Add {C}. {T}: Add {B} or {G}. This land deals 1 damage to you.
Lonely Arroyo | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {W} or {U}.
Lonely Sandbar | [] | This land enters tapped. {T}: Add {U}. Cycling {U} ({U}, Discard this card: Draw a card.)
Looming Spires | [] | This land enters tapped. When this land enters, target creature gets +1/+1 and gains first strike until end of turn. {T}: Add {R}.
Lorehold Campus | [] | This land enters tapped. {T}: Add {R} or {W}. {4}, {T}: Scry 1.
Lotus Field | [] | Hexproof This land enters tapped. When this land enters, sacrifice two lands. {T}: Add three mana of any one color.
Lotus Vale | [] | If this land would enter, sacrifice two untapped lands instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add three mana of any one color.
Lounge | [] | This land enters tapped. {T}: Add {B} or {G}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Lumbering Falls | [] | This land enters tapped. {T}: Add {G} or {U}. {2}{G}{U}: This land becomes a 3/3 green and blue Elemental creature with hexproof until end of turn. It's still a land.
Lupinflower Village | [] | {T}: Add {C}. {T}: Add {W}. Spend this mana only to cast a creature spell. {1}{W}, {T}, Sacrifice this land: Look at the top six cards of your library. You may reveal a Bat, Bird, Mouse, or Rabbit card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Lush Oasis | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {G} or {U}.
Lush Portico | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Luxury Suite | [] | This land enters tapped unless you have two or more opponents. {T}: Add {B} or {R}.
Madblind Mountain | ['Mountain'] | ({T}: Add {R}.) This land enters tapped. {R}, {T}: Shuffle your library. Activate only if you control two or more red permanents.
Maelstrom of the Spirit Dragon | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Dragon spell or an Omen spell. {4}, {T}, Sacrifice this land: Search your library for a Dragon card, reveal it, put it into your hand, then shuffle.
Maestros Theater | [] | When this land enters, sacrifice it. When you do, search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Mage-Ring Network | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {C} for each storage counter removed this way.
Magosi, the Waterveil | [] | This land enters tapped. {T}: Add {U}. {U}, {T}: Put an eon counter on this land. Skip your next turn. {T}, Remove an eon counter from this land and return it to its owner's hand: Take an extra turn after this one.
Mana Confluence | [] | {T}, Pay 1 life: Add one mana of any color.
Manor Gate | ['Gate'] | This land enters tapped. As this land enters, choose a color other than green. {T}: Add {G} or one mana of the chosen color.
Mariposa Military Base | [] | You may have this land enter tapped. If you do, you get two rad counters. {T}: Add {C}. {5}, {T}: Draw a card. This ability costs {1} less to activate for each rad counter you have.
Marsh Flats | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.
Maze of Ith | [] | {T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Maze of Shadows | [] | {T}: Add {C}. {T}: Untap target attacking creature with shadow. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Maze's End | [] | This land enters tapped. {T}: Add {C}. {3}, {T}, Return this land to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten or more Gates with different names, you win the game.
Meandering River | [] | This land enters tapped. {T}: Add {W} or {U}.
Mech Hangar | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Pilot or Vehicle spell. {3}, {T}: Target Vehicle becomes an artifact creature until end of turn.
Memorial to Folly | [] | This land enters tapped. {T}: Add {B}. {2}{B}, {T}, Sacrifice this land: Return target creature card from your graveyard to your hand.
Memorial to Genius | [] | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Draw two cards.
Memorial to Glory | [] | This land enters tapped. {T}: Add {W}. {3}{W}, {T}, Sacrifice this land: Create two 1/1 white Soldier creature tokens.
Memorial to Unity | [] | This land enters tapped. {T}: Add {G}. {2}{G}, {T}, Sacrifice this land: Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Then put the rest on the bottom of your library in a random order.
Memorial to War | [] | This land enters tapped. {T}: Add {R}. {4}{R}, {T}, Sacrifice this land: Destroy target land.
Mercadian Bazaar | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {R} for each storage counter removed this way.
Meteor Crater | [] | {T}: Choose a color of a permanent you control. Add one mana of that color.
Meticulous Archive | ['Plains', 'Island'] | ({T}: Add {W} or {U}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Midgar, City of Mako // Reactor Raid | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {B}. // You may sacrifice an artifact or creature. If you do, draw two cards. (Then exile this card. You may play the land later from exile.)
Mikokoro, Center of the Sea | [] | {T}: Add {C}. {2}, {T}: Each player draws a card.
Minamo, School at Water's Edge | [] | {T}: Add {U}. {U}, {T}: Untap target legendary permanent.
Minas Morgul, Dark Fortress | [] | Minas Morgul enters tapped. {T}: Add {B}. {3}{B}, {T}: Put a shadow counter on target creature. For as long as that creature has a shadow counter on it, it's a Wraith in addition to its other types. (A creature with shadow can block or be blocked by only creatures with shadow.)
Minas Tirith | [] | Minas Tirith enters tapped unless you control a legendary creature. {T}: Add {W}. {1}{W}, {T}: Draw a card. Activate only if you attacked with two or more creatures this turn.
Mines of Moria | [] | Mines of Moria enters tapped unless you control a legendary creature. {T}: Add {R}. {3}{R}, {T}, Exile three cards from your graveyard: Create two Treasure tokens.
Mirage Mesa | ['Desert'] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color.
Miren, the Moaning Well | [] | {T}: Add {C}. {3}, {T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.
Mirrex | ['Sphere'] | {T}: Add {C}. {T}: Add one mana of any color. Activate only if this land entered this turn. {3}, {T}: Create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and "This token can't block." (Players dealt combat damage by it also get a poison counter.)
Mirrodin's Core | [] | {T}: Add {C}. {T}: Put a charge counter on this land. {T}, Remove a charge counter from this land: Add one mana of any color.
Mirrorpool | [] | This land enters tapped. {T}: Add {C}. {2}{C}, {T}, Sacrifice this land: Copy target instant or sorcery spell you control. You may choose new targets for the copy. {4}{C}, {T}, Sacrifice this land: Create a token that's a copy of target creature you control.
Mishra's Factory | [] | {T}: Add {C}. {1}: This land becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. {T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Mishra's Foundry | [] | {T}: Add {C}. {2}: This land becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. {1}, {T}: Target attacking Assembly-Worker gets +2/+2 until end of turn.
Mishra's Workshop | [] | {T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.
Mistrise Village | [] | This land enters tapped unless you control a Mountain or a Forest. {T}: Add {U}. {U}, {T}: The next spell you cast this turn can't be countered.
Mistvault Bridge | [] | This land enters tapped. Indestructible {T}: Add {U} or {B}.
Mistveil Plains | ['Plains'] | ({T}: Add {W}.) This land enters tapped. {W}, {T}: Put target card from your graveyard on the bottom of your library. Activate only if you control two or more white permanents.
Misty Rainforest | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.
Mobilized District | [] | {T}: Add {C}. {4}: This land becomes a 3/3 Citizen creature with vigilance until end of turn. It's still a land. This ability costs {1} less to activate for each legendary creature and planeswalker you control.
Mogg Hollows | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land doesn't untap during your next untap step.
Molten Slagheap | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {B} and/or {R}.
Molten Tributary | ['Island', 'Mountain'] | ({T}: Add {U} or {R}.) This land enters tapped.
Monumental Henge | [] | This land enters tapped unless you control a Plains. {T}: Add {W}. {2}{W}{W}, {T}: Look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.)
Moonring Island | ['Island'] | ({T}: Add {U}.) This land enters tapped. {U}, {T}: Look at the top card of target player's library. Activate only if you control two or more blue permanents.
Moorland Haunt | [] | {T}: Add {C}. {W}{U}, {T}, Exile a creature card from your graveyard: Create a 1/1 white Spirit creature token with flying.
Morphic Pool | [] | This land enters tapped unless you have two or more opponents. {T}: Add {U} or {B}.
Mortuary Mire | [] | This land enters tapped. When this land enters, you may put target creature card from your graveyard on top of your library. {T}: Add {B}.
Mossfire Valley | [] | {1}, {T}: Add {R}{G}.
Mosswort Bridge | [] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) This land enters tapped. {T}: Add {G}. {G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.
Mountain | ['Mountain'] | ({T}: Add {R}.)
Mountain Stronghold | [] | Red legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Mountain Valley | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.
Mount Doom | [] | {T}, Pay 1 life: Add {B} or {R}. {1}{B}{R}, {T}: Mount Doom deals 1 damage to each opponent. {5}{B}{R}, {T}, Sacrifice Mount Doom and a legendary artifact: Choose up to two creatures, then destroy the rest. Activate only as a sorcery.
Mouth of Ronom | [] | {T}: Add {C}. {4}{S}, {T}, Sacrifice this land: It deals 4 damage to target creature. ({S} can be paid with one mana from a snow source.)
Mudflat Village | [] | {T}: Add {C}. {T}: Add {B}. Spend this mana only to cast a creature spell. {1}{B}, {T}, Sacrifice this land: Return target Bat, Lizard, Rat, or Squirrel card from your graveyard to your hand.
Muraganda Raceway | [] | Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.) {T}: Add {C}. Max speed — {T}: Add {C}{C}.
Murky Sewer | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {U} or {B}.
Murmuring Bosk | ['Forest'] | ({T}: Add {G}.) As this land enters, you may reveal a Treefolk card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {B}. This land deals 1 damage to you.
Mutavault | [] | {T}: Add {C}. {1}: This land becomes a 2/2 creature with all creature types until end of turn. It's still a land.
Myriad Landscape | [] | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle.
Mystic Gate | [] | {T}: Add {C}. {W/U}, {T}: Add {W}{W}, {W}{U}, or {U}{U}.
Mystic Monastery | [] | This land enters tapped. {T}: Add {U}, {R}, or {W}.
Mystic Sanctuary | ['Island'] | ({T}: Add {U}.) This land enters tapped unless you control three or more other Islands. When this land enters untapped, you may put target instant or sorcery card from your graveyard on top of your library.
Mystifying Maze | [] | {T}: Add {C}. {4}, {T}: Exile target attacking creature an opponent controls. At the beginning of the next end step, return it to the battlefield tapped under its owner's control.
Nantuko Monastery | [] | {T}: Add {C}. Threshold — {G}{W}: This land becomes a 4/4 green and white Insect Monk creature with first strike until end of turn. It's still a land. Activate only if seven or more cards are in your graveyard.
Naya Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle.
Nearby Planet | [] | Rangeling (This card is every land type, including Plains, Island, Swamp, Mountain, Forest, Desert, Gate, Lair, Locus, and all those Urza's ones.) This land enters tapped. When this land enters, sacrifice it unless you pay {1}.
Necroblossom Snarl | [] | As this land enters, you may reveal a Swamp or Forest card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {G}.
Needle Spires | [] | This land enters tapped. {T}: Add {R} or {W}. {2}{R}{W}: This land becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.
Needleverge Pathway // Pillarverge Pathway | set() | {T}: Add {R}. // {T}: Add {W}.
Neglected Manor | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {B}.
Nephalia Academy | [] | If a spell or ability an opponent controls causes you to discard a card, you may reveal that card and put it on top of your library instead of putting it anywhere else. {T}: Add {C}.
Nephalia Drownyard | [] | {T}: Add {C}. {1}{U}{B}, {T}: Target player mills three cards.
Nesting Grounds | [] | {T}: Add {C}. {1}, {T}: Move a counter from target permanent you control onto another target permanent. Activate only as a sorcery.
New Benalia | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {W}.
Night Market | [] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color. Cycling {3} ({3}, Discard this card: Draw a card.)
Nimbus Maze | [] | {T}: Add {C}. {T}: Add {W}. Activate only if you control an Island. {T}: Add {U}. Activate only if you control a Plains.
Nivix, Aerie of the Firemind | [] | {T}: Add {C}. {2}{U}{R}, {T}: Exile the top card of your library. Until your next turn, you may cast it if it's an instant or sorcery spell.
Nomad Outpost | [] | This land enters tapped. {T}: Add {R}, {W}, or {B}.
Nomad Stadium | [] | {T}: Add {W}. This land deals 1 damage to you. Threshold — {W}, {T}, Sacrifice this land: You gain 4 life. Activate only if seven or more cards are in your graveyard.
Novijen, Heart of Progress | [] | {T}: Add {C}. {G}{U}, {T}: Put a +1/+1 counter on each creature that entered this turn.
Nurturing Peatland | [] | {T}, Pay 1 life: Add {B} or {G}. {1}, {T}, Sacrifice this land: Draw a card.
Nykthos, Shrine to Nyx | [] | {T}: Add {C}. {2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)
Oakhollow Village | [] | {T}: Add {C}. {T}: Add {G}. Spend this mana only to cast a creature spell. {G}, {T}: Put a +1/+1 counter on each Frog, Rabbit, Raccoon, or Squirrel you control that entered the battlefield this turn.
Oasis | [] | {T}: Prevent the next 1 damage that would be dealt to target creature this turn.
Oboro, Palace in the Clouds | [] | {T}: Add {U}. {1}: Return Oboro to its owner's hand.
Obscura Storefront | [] | When this land enters, sacrifice it. When you do, search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Okina, Temple to the Grandfathers | [] | {T}: Add {G}. {G}, {T}: Target legendary creature gets +1/+1 until end of turn.
Ominous Cemetery | [] | {T}: Add {C}. {5}, {T}, Exile this land: Target creature's owner shuffles it into their library.
Opal Palace | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color in your commander's color identity. If you spend this mana to cast your commander, it enters with a number of additional +1/+1 counters on it equal to the number of times it's been cast from the command zone this game.
Opulent Palace | [] | This land enters tapped. {T}: Add {B}, {G}, or {U}.
Oran-Rief, the Vastwood | [] | This land enters tapped. {T}: Add {G}. {T}: Put a +1/+1 counter on each green creature that entered this turn.
Orzhova, the Church of Deals | [] | {T}: Add {C}. {3}{W}{B}, {T}: Target player loses 1 life and you gain 1 life.
Orzhov Basilica | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {W}{B}.
Orzhov Guildgate | ['Gate'] | This land enters tapped. {T}: Add {W} or {B}.
Otawara, Soaring City | [] | {T}: Add {U}. Channel — {3}{U}, Discard this card: Return target artifact, creature, enchantment, or planeswalker to its owner's hand. This ability costs {1} less to activate for each legendary creature you control.
Overflowing Basin | [] | {1}, {T}: Add {G}{U}.
Overgrown Farmland | [] | This land enters tapped unless you control two or more other lands. {T}: Add {G} or {W}.
Overgrown Tomb | ['Swamp', 'Forest'] | ({T}: Add {B} or {G}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Painted Bluffs | ['Desert'] | {T}: Add {C}. {1}, {T}: Add one mana of any color.
Paliano, the High City | [] | Reveal this card as you draft it. The player to your right chooses a color, you choose another color, then the player to your left chooses a third color. {T}: Add one mana of any color chosen as you drafted cards named Paliano, the High City.
Path of Ancestry | [] | This land enters tapped. {T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
Peat Bog | [] | This land enters tapped with two depletion counters on it. {T}, Remove a depletion counter from this land: Add {B}{B}. If there are no depletion counters on this land, sacrifice it.
Peculiar Lighthouse | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {U} or {R}.
Pendelhaven | [] | {T}: Add {G}. {T}: Target 1/1 creature gets +1/+2 until end of turn.
Perilous Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Island, Mountain, or Plains card, put it onto the battlefield tapped, then shuffle. Cycling {U}{R}{W} ({U}{R}{W}, Discard this card: Draw a card.)
Petrified Field | [] | {T}: Add {C}. {T}, Sacrifice this land: Return target land card from your graveyard to your hand.
Phyrexian Tower | [] | {T}: Add {C}. {T}, Sacrifice a creature: Add {B}{B}.
Phyrexia's Core | [] | {T}: Add {C}. {1}, {T}, Sacrifice an artifact: You gain 1 life.
Pillar of the Paruns | [] | {T}: Add one mana of any color. Spend this mana only to cast a multicolored spell.
Pine Barrens | [] | This land enters tapped. {T}: Add {C}. {T}: Add {B} or {G}. This land deals 1 damage to you.
Pinecrest Ridge | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land doesn't untap during your next untap step.
Piranha Marsh | [] | This land enters tapped. When this land enters, target player loses 1 life. {T}: Add {B}.
Pit of Offerings | ['Cave'] | This land enters tapped. When this land enters, exile up to three target cards from graveyards. {T}: Add {C}. {T}: Add one mana of any of the exiled cards' colors.
Plains | ['Plains'] | ({T}: Add {W}.)
Planar Nexus | [] | This land is every nonbasic land type. (Nonbasic land types include Cave, Desert, Gate, Lair, Locus, Mine, Power-Plant, Sphere, Tower, and Urza's.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Plateau | ['Mountain', 'Plains'] | ({T}: Add {R} or {W}.)
Plaza of Harmony | [] | When this land enters, if you control two or more Gates, you gain 3 life. {T}: Add {C}. {T}: Add one mana of any type that a Gate you control could produce.
Plaza of Heroes | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a legendary spell. {T}: Add one mana of any color among legendary permanents you control. {3}, {T}, Exile this land: Target legendary creature gains hexproof and indestructible until end of turn.
Polluted Delta | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.
